"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-01","1.2",,"0.0","0.0","0.0","4.9","8.3","1.1","  110","   70","3.1","6.3"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-02","1.7",,"6.1","0.0","0.0","5.4","8.3","3.3","  100","   60","7.2","10.7"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-03","3.3",,"2.5","0.0","0.0","7.2","10.0","5.0","  190","  200","6.7","9.8"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-04","2.6",,"3.6","0.0","0.0","7.2","7.8","5.0","  220","  220","6.3","8.1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-05","6.1",,"5.8","0.0","0.0","6.6","8.3","4.4","  180","  190","10.3","13.9"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-06","2.7",,"10.7","0.0","0.0","6.1","6.7","2.2","   10","  220","8.9","13.9"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-07","0.9",,"2.8","0.0","0.0","3.8","5.0","2.2","  140","   70","4.0","5.8"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-08","4.4",,"18.8","0.0","0.0","3.7","9.4","2.8","  180","  180","13.4","18.3"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-09","9.2",,"6.9","0.0","0.0","6.6","8.9","2.8","  230","  220","15.7","23.3"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-10","3.4",,"0.8","0.0","0.0","3.6","5.0","1.7","  220","  190","8.9","11.2"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-11","4.7",,"0.0","0.0","0.0","3.6","7.2","-3.8","  250","  320","10.3","14.8"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-12","6.1",,"0.0","0.0","0.0","-4.1","-3.8","-9.3","  350","  360","9.8","13.4"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-13","5.1",,"0.0","0.0","0.0","-8.1","-5.5","-9.3","   80","   80","9.8","14.3"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-14","2.7",,"0.0","0.0","0.0","-5.6","-0.5","-7.1","   90","  100","5.4","6.3"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-15","3.8",,"0.0","0.0","0.0","-2.7","3.3","-6.0","  100","  100","6.7","9.4"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-16","2.6",,"1.8","0.0","0.0","-1.1","2.2","-5.5","  110","  100","5.8","8.1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-17","3.3",,"7.1","0.0","0.0","0.8","4.4","-1.0","   30","   20","8.1","9.8"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-18","5.1",,"9.7","0.0","0.0","2.4","3.9","1.1","  100","  120","9.8","13.4"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-19","3.6",,"0.5","0.0","0.0","4.2","8.3","2.8","   90","   80","9.4","12.1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-20","2.5",,"6.6","0.0","0.0","5.2","10.6","1.7","  110","   90","7.2","9.4"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-21","4.0",,"11.7","0.0","0.0","6.7","8.9","5.6","  100","  110","7.2","10.7"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-22","3.5",,"10.9","0.0","0.0","7.9","10.6","6.7","  180","  170","7.6","10.7"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-23","3.7",,"0.3","0.0","0.0","9.1","11.1","6.1","  210","  220","7.2","9.8"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-24","3.9",,"10.2","0.0","0.0","7.8","10.6","6.1","  150","  150","8.1","12.1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-25","3.8",,"4.3","0.0","0.0","7.9","10.6","5.6","  150","  120","6.7","9.8"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-26","2.3",,"9.7","0.0","0.0","8.9","11.7","6.7","  110","  130","6.7","11.2"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-27","3.9",,"18.3","0.0","0.0","9.8","13.9","8.9","  110","  120","6.7","9.4"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-28","3.2",,"13.2","0.0","0.0","12.8","16.1","10.6","  120","  140","6.7","9.8"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-29","2.5",,"0.0","0.0","0.0","14.1","16.1","10.6","  120","  130","7.2","9.4"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-30","3.0",,"0.5","0.0","0.0","13.0","16.1","10.6","  110","  120","7.6","9.8"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-01-31","3.8",,"3.0","0.0","0.0","13.7","15.6","10.0","  100","  100","9.8","13.0"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-02-01","3.0",,"2.3","0.0","0.0","11.3","14.4","8.3","  250","  250","7.2","10.7"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-02-02","2.4",,"0.0","0.0","0.0","9.8","12.2","6.1","  250","  230","5.8","8.1"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2024-02-03","1.6",,"0.0","0.0","0.0","6.9","10.6","2.8","   20","   30","4.0","5.8"
